cohort,rcdts,school_name,district,city,county,district_type,district_size,school_type,grades_served,percent_student_enrollment_white,percent_student_enrollment_black_or_african_american,percent_student_enrollment_hispanic_or_latino,percent_student_enrollment_asian,percent_student_enrollment_native_hawaiian_or_other_pacific_islander,percent_student_enrollment_american_indian_or_alaska_native,percent_student_enrollment_two_or_more_races,number_student_enrollment,total_number_of_school_days,student_attendance_rate,student_chronic_truancy_rate,high_school_dropout_rate_total,high_school_4_year_graduation_rate_total,high_school_5_year_graduation_rate_total,avg_class_size_high_school,pupil_teacher_ratio_high_school,teacher_retention_rate,percent_graduates_enrolled_in_a_postsecondary_institution_within_16_months,percent_graduates_enrolled_in_a_postsecondary_institution_within_12_months,percent_9th_grade_on_track,number_students_who_took_ap_classes_grade_10_total,number_students_who_took_ap_classes_grade_11_total,number_students_who_took_ap_classes_grade_12_total
2013,20020050260001,Egyptian Sr High School          ,Egyptian CUSD 5                  ,Tamms            ,Alexander  ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,71.2,23.5,2.3,0.0,0.0,0.0,3.0,132,174,92.9,6.4,2.3,84.6,64.1,13.7,,,,,,,,
2013,20440010260001,Goreville High School            ,Goreville CUD 1                  ,Goreville        ,Johnson    ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,99.5,0.0,0.5,0.0,0.0,0.0,0.0,182,175,95.0,0.0,1.6,98.2,95.6,10.4,,,,,,,,
2013,20441330170001,Vienna High School               ,Vienna HSD 133                   ,Vienna           ,Johnson    ,HIGH SCHOOL,SMALL ,HIGH SCHOOL,9 10 11 12                     ,94.5,0.0,2.8,0.6,0.0,0.3,1.8,325,175,94.6,11.6,1.5,89.4,82.5,11.9,,,,,,,,
2013,20610010260001,Massac County High School        ,Massac UD 1                      ,Metropolis       ,Massac     ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,85.4,8.2,1.7,0.2,0.0,0.0,4.5,643,175,92.9,5.1,2.6,82.4,86.0,17.8,,,,,,,,
2013,20610380260001,Joppa Jr & Sr High School        ,Joppa-Maple Grove UD 38          ,Joppa            ,Massac     ,UNIT       ,SMALL ,HIGH SCHOOL,7 8 9 10 11 12                 ,89.9,1.8,0.0,0.0,0.0,0.0,8.3,109,175,94.1,0.9,0.0,86.7,76.5,7.9,,,,,,,,
2013,20771000260001,Century Jr/Sr High School        ,Century CUSD 100                 ,Ullin            ,Pulaski    ,UNIT       ,SMALL ,HIGH SCHOOL,6 7 8 9 10 11 12               ,74.6,18.3,1.3,0.0,0.4,0.4,4.9,224,176,94.2,6.3,3.4,83.3,88.9,10.6,,,,,,,,
2013,20771010260001,Meridian High School             ,Meridian CUSD 101                ,Mounds           ,Pulaski    ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,30.9,65.1,0.7,0.0,0.0,0.0,3.4,149,174,92.9,8.9,5.4,54.0,79.6,12.9,,,,,,,,
2013,20910170220001,Cobden High School               ,Cobden SUD 17                    ,Cobden           ,Union      ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,66.2,0.0,29.9,0.0,0.0,0.6,3.2,157,175,96.6,1.3,3.2,82.1,79.1,15.7,,,,,,,,
2013,20910660220001,Dongola High School              ,Dongola USD 66                   ,Dongola          ,Union      ,UNIT       ,SMALL ,HIGH SCHOOL,9 10 11 12                     ,95.0,0.0,1.3,1.3,0.0,0.0,2.5,80,176,91.7,0.0,0.0,88.9,90.5,7.6,,,,,,,,
2013,20910810160001,Anna-Jonesboro High School       ,Anna Jonesboro CHSD 81           ,Anna             ,Union      ,HIGH SCHOOL,SMALL ,HIGH SCHOOL,9 10 11 12                     ,92.2,0.8,4.4,1.3,0.0,0.0,1.3,475,175,94.9,1.6,2.9,82.4,87.1,16.4,,,,,,,,
2013,20910840260001,Shawnee High School              ,Shawnee CUSD 84                  ,Wolf Lake        ,Union      ,UNIT       ,SMALL ,HIGH SCHOOL,9 10 11 12                     ,98.5,0.0,1.5,0.0,0.0,0.0,0.0,132,175,93.2,0.0,1.5,91.7,79.1,11.1,,,,,,,,
2013,30030010260001,Mulberry Grove Sr High School    ,Mulberry Grove CUSD 1            ,Mulberry Grove   ,Bond       ,UNIT       ,SMALL ,HIGH SCHOOL,9 10 11 12                     ,93.1,5.4,0.0,0.0,0.0,0.0,1.5,130,174,93.0,3.2,2.3,85.4,91.2,13.4,,,,,,,,
2013,30030020260001,Bond Cty Comm Unit 2 High School ,Bond County CUSD 2               ,Greenville       ,Bond       ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,91.8,2.7,2.2,0.5,0.0,0.5,2.2,583,176,95.2,1.4,2.9,90.5,89.8,21.8,,,,,,,,
2013,30250100260001,Altamont High School             ,Altamont CUSD 10                 ,Altamont         ,Effingham  ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,97.6,0.4,0.4,0.8,0.0,0.8,0.0,255,174,94.7,5.7,1.6,83.9,87.0,13.3,,,,,,,,
2013,30250200260001,Beecher City Jr-Sr High School   ,Beecher City CUSD 20             ,Beecher City     ,Effingham  ,UNIT       ,SMALL ,HIGH SCHOOL,7 8 9 10 11 12                 ,99.0,0.0,1.0,0.0,0.0,0.0,0.0,195,175,96.3,2.2,0.7,91.2,97.1,12.2,,,,,,,,
2013,30250300260001,Dieterich Jr/Sr High School      ,Dieterich CUSD 30                ,Dieterich        ,Effingham  ,UNIT       ,SMALL ,HIGH SCHOOL,7 8 9 10 11 12                 ,99.0,0.5,0.0,0.5,0.0,0.0,0.0,203,175,96.5,0.5,0.7,90.6,97.2,14.2,,,,,,,,
2013,30250400260001,Effingham High School            ,Effingham CUSD 40                ,Effingham        ,Effingham  ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,93.4,0.6,2.3,0.8,0.0,0.9,2.0,862,175,96.3,1.0,0.3,91.1,83.2,18.7,,,,,,,,
2013,30250500260001,Teutopolis High School           ,Teutopolis CUSD 50               ,Teutopolis       ,Effingham  ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,98.9,0.6,0.0,0.0,0.0,0.0,0.6,363,175,97.6,0.0,0.0,95.5,94.6,17.1,,,,,,,,
2013,30262010260003,Brownstown High School           ,Brownstown CUSD 201              ,Brownstown       ,Fayette    ,UNIT       ,SMALL ,HIGH SCHOOL,9 10 11 12                     ,99.2,0.0,0.0,0.0,0.0,0.0,0.8,119,170,93.8,7.0,0.8,88.9,74.1,10.1,,,,,,,,
2013,30262020260002,St Elmo Sr High School           ,St Elmo CUSD 202                 ,Saint Elmo       ,Fayette    ,UNIT       ,SMALL ,HIGH SCHOOL,9 10 11 12                     ,97.9,0.0,1.4,0.0,0.0,0.0,0.7,144,174,92.5,8.1,2.1,85.3,66.7,12.7,,,,,,,,
2013,30262030260001,Vandalia Community High School   ,Vandalia CUSD 203                ,Vandalia         ,Fayette    ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,98.1,0.0,0.9,0.2,0.0,0.9,0.0,466,174,94.1,5.3,3.4,80.2,83.5,18.0,,,,,,,,
2013,30262040260002,Ramsey High School               ,Ramsey CUSD 204                  ,Ramsey           ,Fayette    ,UNIT       ,SMALL ,HIGH SCHOOL,9 10 11 12                     ,98.0,0.7,0.7,0.7,0.0,0.0,0.0,153,175,94.3,13.8,1.3,74.3,88.6,11.8,,,,,,,,
2013,40041000260001,Belvidere High School            ,Belvidere CUSD 100               ,Belvidere        ,Boone      ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,58.4,3.2,33.1,1.5,0.6,0.6,2.7,1203,173,91.6,0.4,3.1,84.9,86.3,23.5,,,,,,,,
2013,40041000260002,Belvidere North High Sch         ,Belvidere CUSD 100               ,Belvidere        ,Boone      ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,66.4,2.3,26.9,1.1,1.0,0.2,2.1,1448,173,91.8,0.7,4.4,79.5,83.1,25.8,,,,,,,,
2013,40041000260003,Belvidere Endeavor High School   ,Belvidere CUSD 100               ,Belvidere        ,Boone      ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,40.0,0.0,55.6,0.0,0.0,2.2,2.2,45,173,84.1,37.3,24.4,33.3,72.4,8.2,,,,,,,,
2013,40042000260003,North Boone High School          ,North Boone CUSD 200             ,Poplar Grove     ,Boone      ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,75.0,1.3,20.6,0.6,0.0,0.4,2.1,525,174,92.7,13.2,0.6,93.1,84.2,18.8,,,,,,,,
2013,41011220220002,Harlem High School               ,Harlem UD 122                    ,Machesney Park   ,Winnebago  ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,81.4,4.2,8.5,1.8,0.1,0.5,3.6,2335,174,89.8,15.0,3.2,71.2,80.9,21.3,,,,,,,,
2013,41012050250001,Auburn High School               ,Rockford SD 205                  ,Rockford         ,Winnebago  ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,31.7,45.5,14.1,4.3,0.0,0.5,4.0,1948,172,88.2,12.9,6.9,60.2,68.3,21.7,,,,,,,,
2013,41012050250002,Rockford East High School        ,Rockford SD 205                  ,Rockford         ,Winnebago  ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,40.3,23.4,22.8,8.9,0.1,0.1,4.4,1848,172,89.6,6.1,10.2,57.3,67.7,23.7,,,,,,,,
2013,41012050250003,Guilford High School             ,Rockford SD 205                  ,Rockford         ,Winnebago  ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,39.5,28.1,24.7,3.2,0.0,0.3,4.3,1832,172,89.8,11.6,5.9,71.2,69.4,22.3,,,,,,,,
2013,41012050250004,Jefferson High School            ,Rockford SD 205                  ,Rockford         ,Winnebago  ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,35.8,21.2,35.6,2.5,0.1,0.4,4.4,1869,172,88.6,9.4,8.8,65.7,64.7,22.1,,,,,,,,
2013,41012070160001,Hononegah High School            ,Hononegah CHD 207                ,Rockton          ,Winnebago  ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,86.5,2.1,5.5,2.1,0.2,0.2,3.5,2142,173,94.0,3.7,1.8,90.3,90.8,22.4,,,,,,,,
2013,41013200260001,South Beloit Sr High School      ,County of Winnebago SD 320       ,South Beloit     ,Winnebago  ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,68.5,4.4,20.0,0.7,0.0,0.7,5.6,270,173,93.5,2.2,4.4,69.9,82.1,16.0,,,,,,,,
2013,41013210260001,Pecatonica High School           ,Pecatonica CUSD 321              ,Pecatonica       ,Winnebago  ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,94.0,0.3,3.8,0.6,0.3,0.3,0.6,315,174,95.7,2.5,1.3,84.5,85.7,14.1,,,,,,,,
2013,41013220260001,Durand High School               ,Durand CUSD 322                  ,Durand           ,Winnebago  ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,95.7,0.0,3.4,0.0,0.0,0.0,0.9,232,174,94.3,2.2,0.9,84.4,90.2,14.6,,,,,,,,
2013,41013230260001,Winnebago High School            ,Winnebago CUSD 323               ,Winnebago        ,Winnebago  ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,86.7,4.3,4.8,1.1,0.0,1.1,2.1,563,172,95.6,0.9,1.1,95.2,91.5,19.6,,,,,,,,
2013,50162020170001,Evanston Twp High School         ,Evanston Twp HSD 202             ,Evanston         ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,42.9,32.0,15.4,3.8,0.1,0.5,5.2,3147,178,95.4,10.5,1.3,85.6,89.0,20.4,,,,,,,,
2013,50162030170001,New Trier Township H S Winnetka  ,New Trier Twp HSD 203            ,Winnetka         ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,10 11 12                       ,84.8,0.6,3.9,8.2,0.0,0.1,2.4,3209,177,94.9,0.1,0.1,98.1,98.8,22.4,,,,,,,,
2013,50162070170001,Maine East High School           ,Maine Township HSD 207           ,Park Ridge       ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,40.0,5.4,18.2,34.2,0.1,0.7,1.4,1843,179,95.1,5.5,1.2,83.4,87.0,18.8,,,,,,,,
2013,50162070170003,Maine South High School          ,Maine Township HSD 207           ,Park Ridge       ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,86.2,0.2,9.0,2.8,0.2,0.3,1.4,2498,179,94.7,5.6,0.3,94.1,93.0,21.1,,,,,,,,
2013,50162070170004,Maine West High School           ,Maine Township HSD 207           ,Des Plaines      ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,49.0,3.8,34.4,10.0,0.3,1.2,1.3,2184,179,94.9,3.5,1.5,84.4,90.4,18.3,,,,,,,,
2013,50162110170001,J B Conant High School           ,Township HSD 211                 ,Hoffman Estates  ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,58.2,4.5,12.0,22.7,0.0,0.4,2.2,2398,180,95.4,0.4,0.5,95.0,97.0,19.8,,,,,,,,
2013,50162110170002,Wm Fremd High School             ,Township HSD 211                 ,Palatine         ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,67.8,3.2,7.1,19.7,0.0,0.1,2.0,2793,180,95.8,0.7,0.4,96.6,97.5,24.0,,,,,,,,
2013,50162110170003,Palatine High School             ,Township HSD 211                 ,Palatine         ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,49.8,6.1,33.6,8.5,0.3,0.3,1.4,2754,180,93.6,3.2,1.2,88.7,93.6,21.7,,,,,,,,
2013,50162110170004,Schaumburg High School           ,Township HSD 211                 ,Schaumburg       ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,58.3,7.3,18.3,13.4,0.0,0.1,2.6,2458,180,93.9,1.6,0.9,91.8,94.4,21.8,,,,,,,,
2013,50162110170006,Hoffman Estates High School      ,Township HSD 211                 ,Hoffman Estates  ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,38.7,13.8,26.4,18.3,0.0,0.2,2.6,1959,180,94.7,1.1,0.8,93.5,94.8,20.2,,,,,,,,
2013,50162140170002,Elk Grove High School            ,Township HSD 214                 ,Elk Grove Village,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,52.2,2.8,33.5,8.7,0.1,0.4,2.2,2061,180,94.4,2.1,0.8,91.8,95.7,20.9,,,,,,,,
2013,50162140170004,John Hersey High School          ,Township HSD 214                 ,Arlington Heights,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,74.0,3.0,12.6,8.0,0.3,0.2,1.9,2106,180,94.1,1.9,0.9,92.4,93.6,17.0,,,,,,,,
2013,50162140170005,Prospect High School             ,Township HSD 214                 ,Mt Prospect      ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,80.0,1.8,8.8,6.5,0.0,0.1,2.8,2132,180,94.1,2.2,1.1,92.9,95.7,17.9,,,,,,,,
2013,50162140170006,Wheeling High School             ,Township HSD 214                 ,Wheeling         ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,39.8,2.4,50.7,5.6,0.1,0.5,1.0,1835,180,92.9,4.9,1.5,88.4,90.6,19.0,,,,,,,,
2013,50162140170007,Rolling Meadows High School      ,Township HSD 214                 ,Rolling Meadows  ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,58.2,2.9,29.7,6.2,0.1,0.5,2.3,1906,180,93.2,4.4,1.0,90.7,91.4,22.1,,,,,,,,
2013,50162140170008,Buffalo Grove High School        ,Township HSD 214                 ,Buffalo Grove    ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,66.9,1.6,21.3,7.9,0.2,0.0,2.0,2089,180,93.9,4.4,1.1,92.6,94.7,23.1,,,,,,,,
2013,50162190170002,Niles North High School          ,Niles Twp CHSD 219               ,Skokie           ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,41.9,9.8,13.2,32.8,0.7,0.3,1.4,2238,178,95.8,1.6,0.9,92.9,94.2,17.1,,,,,,,,
2013,50162190170003,Niles West High School           ,Niles Twp CHSD 219               ,Skokie           ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,47.7,6.6,12.8,28.8,0.2,0.1,3.8,2681,178,95.4,4.1,0.6,91.8,94.4,20.4,,,,,,,,
2013,50162250170001,Glenbrook North High School      ,Northfield Twp HSD 225           ,Northbrook       ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,79.9,0.5,3.1,13.8,0.0,0.1,2.5,2066,178,96.2,0.8,0.1,97.8,98.1,18.0,,,,,,,,
2013,50162250170002,Glenbrook South High School      ,Northfield Twp HSD 225           ,Glenview         ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,68.2,1.0,9.6,17.7,0.4,0.0,3.1,2753,178,94.9,0.8,0.4,97.1,95.8,19.5,,,,,,,,
2013,60162000130001,Oak Park & River Forest High Sch ,Oak Park - River Forest SD 200   ,Oak Park         ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,54.6,26.7,9.2,3.4,0.1,0.2,5.9,3285,177,92.3,4.2,1.2,93.1,94.6,17.7,,,,,,,,
2013,60162010170001,J Sterling Morton East High Sch  ,J S Morton HSD 201               ,Cicero           ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,1.8,1.9,95.5,0.2,0.0,0.4,0.2,3586,175,86.1,30.9,4.4,69.6,77.0,23.5,,,,,,,,
2013,60162010170002,J Sterling Morton West High Sch  ,J S Morton HSD 201               ,Berwyn           ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,14.0,6.8,77.0,1.4,0.1,0.0,0.7,3506,175,88.9,15.2,3.8,68.4,76.2,19.8,,,,,,,,
2013,60162040170001,Lyons Twp High Sch               ,Lyons Twp HSD 204                ,La Grange        ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,75.5,3.9,17.0,1.8,0.0,0.1,1.7,4039,177,94.9,2.5,0.4,92.8,92.3,21.5,,,,,,,,
2013,60162080170001,Riverside Brookfield Twp HS      ,Riverside-Brookfield Twp SD 208  ,Riverside        ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,61.9,3.6,30.1,1.7,0.0,0.3,2.3,1447,175,93.2,5.1,1.2,92.6,94.8,23.5,,,,,,,,
2013,60162090170001,Proviso East High School         ,Proviso Twp HSD 209              ,Maywood          ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,2.2,57.1,39.0,0.3,0.4,0.2,0.9,1925,176,79.9,73.3,3.3,72.9,65.7,10.6,,,,,,,,
2013,60162090170002,Proviso West High School         ,Proviso Twp HSD 209              ,Hillside         ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,2.5,57.8,38.7,0.5,0.0,0.1,0.3,2321,176,80.9,24.9,2.1,77.1,71.5,20.3,,,,,,,,
2013,60162090170003,Proviso Math and Science Academy ,Proviso Twp HSD 209              ,Forest Park      ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,10.4,35.0,50.1,2.7,0.1,0.1,1.6,817,176,95.6,28.9,0.0,100.0,94.8,26.6,,,,,,,,
2013,60162120160001,East Leyden High School          ,Leyden CHSD 212                  ,Franklin Park    ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,46.9,1.4,46.0,3.2,0.2,1.2,1.2,1803,175,92.6,1.0,2.4,86.8,86.9,21.1,,,,,,,,
2013,60162120160002,West Leyden High School          ,Leyden CHSD 212                  ,Northlake        ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,20.1,2.3,73.5,2.8,0.0,0.7,0.5,1742,175,92.6,1.1,2.6,75.9,83.3,19.5,,,,,,,,
2013,60162340160001,Ridgewood Comm High School       ,Ridgewood CHSD 234               ,Norridge         ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,77.7,0.7,17.0,3.4,0.1,0.0,1.0,812,175,93.9,0.9,0.6,91.4,94.8,20.8,,,,,,,,
2013,60164010260001,Elmwood Park High School         ,Elmwood Park CUSD 401            ,Elmwood Park     ,Cook       ,UNIT       ,LARGE ,HIGH SCHOOL,9 10 11 12                     ,55.7,3.7,35.5,1.7,0.3,1.3,1.8,1039,176,94.3,2.1,1.0,85.2,91.6,21.6,,,,,,,,
2013,70162050170001,Thornton Township High School    ,Thornton Twp HSD 205             ,Harvey           ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,0.3,84.6,13.3,0.7,0.0,0.2,0.9,1839,178,88.7,20.2,7.8,65.1,77.8,15.6,,,,,,,,
2013,70162050170002,Thornridge High School           ,Thornton Twp HSD 205             ,Dolton           ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,0.0,97.5,1.2,0.2,0.1,0.4,0.7,1331,178,88.7,19.0,0.8,56.3,49.1,18.9,,,,,,,,
2013,70162050170003,Thornwood High School            ,Thornton Twp HSD 205             ,South Holland    ,Cook       ,HIGH SCHOOL,LARGE ,HIGH SCHOOL,9 10 11 12                     ,1.5,86.7,9.1,0.2,0.0,0.2,2.4,1894,178,93.5,3.6,2.3,74.5,77.2,19.9,,,,,,,,
2013,70162060170001,Bloom High School                ,Bloom Twp HSD 206                ,Chicago Heights  ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,6.8,49.4,41.3,0.2,0.2,0.0,2.1,1739,175,87.0,14.4,3.8,63.7,67.0,21.5,,,,,,,,
2013,70162060170002,Bloom Trail High School          ,Bloom Twp HSD 206                ,Chicago Heights  ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,22.1,59.8,13.1,0.4,0.1,0.3,4.2,1567,175,86.5,25.2,6.0,66.7,68.0,19.8,,,,,,,,
2013,70162100170001,Lemont Twp High School           ,Lemont Twp HSD 210               ,Lemont           ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,85.1,0.8,9.2,2.9,0.0,0.1,1.8,1473,176,95.6,1.4,0.5,95.8,97.0,22.6,,,,,,,,
2013,70162150170001,Thornton Fractnl No High School  ,Thornton Fractional Twp HSD 215  ,Calumet City     ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,2.3,73.4,22.7,0.0,0.0,0.1,1.5,1584,175,94.4,6.0,2.4,91.8,94.3,20.2,,,,,,,,
2013,70162150170002,Thornton Fractnl So High School  ,Thornton Fractional Twp HSD 215  ,Lansing          ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,19.7,60.4,14.7,0.8,0.0,0.3,4.1,1896,175,95.1,0.6,1.3,88.9,88.3,21.9,,,,,,,,
2013,70162170160001,Argo Community High School       ,Argo CHSD 217                    ,Summit           ,Cook       ,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,41.4,14.9,41.0,1.2,0.2,0.4,0.9,1842,176,94.9,1.1,2.4,79.7,83.5,21.7,,,,,,,,
